SNO,TYPE1,TYPE2,ZIPCODE,SIDO,SIGUNGU,DONG,BUNJITYPE,STARTBUNJI,ENDBUNJI,DRIVER
30415,지청,서울북부지청,1000,서울특별시,강북구,우이동,0,199,337,D-001
30417,지청,서울북부지청,1001,서울특별시,강북구,우이동,0,1,265,D-001
30419,지청,서울북부지청,1002,서울특별시,강북구,우이동,0,3,265,D-001
30421,지청,서울북부지청,1003,서울특별시,강북구,우이동,0,30,267,D-001
30423,지청,서울북부지청,1004,서울특별시,강북구,우이동,0,6,163,D-001
30424,지청,서울북부지청,1005,서울특별시,강북구,우이동,0,44,267,D-001
30425,지청,서울북부지청,1006,서울특별시,강북구,우이동,0,61,345,D-001
30426,지청,서울북부지청,1007,서울특별시,강북구,우이동,0,80,94,D-001
30428,지청,서울북부지청,1008,서울특별시,강북구,우이동,0,73,340,D-001
30430,지청,서울북부지청,1009,서울특별시,강북구,수유동,0,570,576,D-002
30433,지청,서울북부지청,1010,서울특별시,강북구,수유동,0,570,573,D-002
30435,지청,서울북부지청,1011,서울특별시,강북구,수유동,0,279,570,D-002
30436,지청,서울북부지청,1012,서울특별시,강북구,수유동,0,535,643,D-002
30438,지청,서울북부지청,1013,서울특별시,강북구,수유동,1,73,127,D-002
30439,지청,서울북부지청,1014,서울특별시,강북구,수유동,0,535,734,D-002
30440,지청,서울북부지청,1015,서울특별시,강북구,수유동,0,535,563,D-002
30441,지청,서울북부지청,1016,서울특별시,강북구,수유동,0,532,540,D-002
30442,지청,서울북부지청,1017,서울특별시,강북구,수유동,0,531,649,D-002
30444,지청,서울북부지청,1018,서울특별시,강북구,수유동,0,535,535,D-002
30446,지청,서울북부지청,1019,서울특별시,강북구,수유동,0,516,522,D-002
30448,지청,서울북부지청,1020,서울특별시,강북구,수유동,0,527,551,D-002
30449,지청,서울북부지청,1021,서울특별시,강북구,수유동,0,521,527,D-002
30451,지청,서울북부지청,1022,서울특별시,강북구,수유동,0,410,520,D-002
30452,지청,서울북부지청,1023,서울특별시,강북구,수유동,0,409,519,D-002
30453,지청,서울북부지청,1024,서울특별시,강북구,수유동,0,435,518,D-002
30454,지청,서울북부지청,1025,서울특별시,강북구,수유동,0,498,502,D-002
30455,지청,서울북부지청,1026,서울특별시,강북구,수유동,0,279,571,D-002
30456,지청,서울북부지청,1027,서울특별시,강북구,수유동,0,291,566,D-002
30457,지청,서울북부지청,1028,서울특별시,강북구,수유동,0,281,569,D-002
30458,지청,서울북부지청,1029,서울특별시,강북구,수유동,0,277,320,D-002
30459,지청,서울북부지청,1030,서울특별시,강북구,수유동,0,287,605,D-002
30460,지청,서울북부지청,1031,서울특별시,강북구,수유동,0,293,555,D-002
30461,지청,서울북부지청,1032,서울특별시,강북구,수유동,0,553,553,D-002
30462,지청,서울북부지청,1033,서울특별시,강북구,수유동,0,310,553,D-002
30463,지청,서울북부지청,1034,서울특별시,강북구,수유동,0,310,372,D-002
30464,지청,서울북부지청,1035,서울특별시,강북구,수유동,0,355,527,D-002
30465,지청,서울북부지청,1036,서울특별시,강북구,수유동,0,360,625,D-002
30466,지청,서울북부지청,1037,서울특별시,강북구,수유동,0,273,279,D-002
30467,지청,서울북부지청,1038,서울특별시,강북구,수유동,0,268,323,D-002
30468,지청,서울북부지청,1039,서울특별시,강북구,수유동,0,260,729,D-002
30469,지청,서울북부지청,1040,서울특별시,강북구,수유동,0,246,730,D-002
30470,지청,서울북부지청,1041,서울특별시,강북구,수유동,0,186,605,D-002
30471,지청,서울북부지청,1042,서울특별시,강북구,수유동,0,205,648,D-002
30472,지청,서울북부지청,1043,서울특별시,강북구,수유동,0,140,248,D-002
30473,지청,서울북부지청,1044,서울특별시,강북구,수유동,0,269,702,D-002
30475,지청,서울북부지청,1045,서울특별시,강북구,수유동,0,659,727,D-002
30476,지청,서울북부지청,1046,서울특별시,강북구,수유동,0,269,614,D-002
30477,지청,서울북부지청,1047,서울특별시,강북구,수유동,0,252,270,D-002
30478,지청,서울북부지청,1048,서울특별시,강북구,수유동,0,231,256,D-002
30479,지청,서울북부지청,1049,서울특별시,강북구,수유동,0,252,725,D-002
30480,지청,서울북부지청,1050,서울특별시,강북구,수유동,0,662,724,D-002
30481,지청,서울북부지청,1051,서울특별시,강북구,수유동,0,183,738,D-002
30482,지청,서울북부지청,1052,서울특별시,강북구,수유동,0,166,170,D-002
30483,지청,서울북부지청,1053,서울특별시,강북구,수유동,0,171,182,D-002
30484,지청,서울북부지청,1054,서울특별시,강북구,수유동,0,140,177,D-002
30485,지청,서울북부지청,1055,서울특별시,강북구,수유동,0,167,169,D-002
30486,지청,서울북부지청,1056,서울특별시,강북구,번동,0,386,470,D-003
30487,지청,서울북부지청,1057,서울특별시,강북구,번동,0,467,469,D-003
30488,지청,서울북부지청,1058,서울특별시,강북구,번동,0,461,462,D-003
30489,지청,서울북부지청,1059,서울특별시,강북구,번동,0,459,460,D-003
30490,지청,서울북부지청,1060,서울특별시,강북구,번동,0,458,472,D-003
30491,지청,서울북부지청,1061,서울특별시,강북구,번동,0,387,655,D-003
30492,지청,서울북부지청,1062,서울특별시,강북구,번동,0,386,449,D-003
30494,지청,서울북부지청,1063,서울특별시,강북구,번동,0,386,418,D-003
30495,지청,서울북부지청,1064,서울특별시,강북구,번동,0,415,417,D-003
30496,지청,서울북부지청,1065,서울특별시,강북구,번동,0,444,447,D-003
30497,지청,서울북부지청,1066,서울특별시,강북구,번동,0,412,414,D-003
30498,지청,서울북부지청,1067,서울특별시,강북구,번동,0,410,411,D-003
30499,지청,서울북부지청,1068,서울특별시,강북구,번동,0,411,411,D-003
30500,지청,서울북부지청,1069,서울특별시,강북구,번동,0,443,448,D-003
30501,지청,서울북부지청,1070,서울특별시,강북구,수유동,0,188,220,D-004
30502,지청,서울북부지청,1071,서울특별시,강북구,수유동,0,190,193,D-004
30503,지청,서울북부지청,1072,서울특별시,강북구,수유동,0,192,224,D-004
30504,지청,서울북부지청,1073,서울특별시,강북구,수유동,0,140,230,D-004
